<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<Japanese>;<Portuguese>;<Ukrainian>;<Serbian>;<Hungarian>;<Korean>;<Belarusian>;<Romanian>;<TChinese>;<HChinese>;<Comments>;<max_chars>
ships/germ_bb_tirpitz_searchlight_top_2;Łódź Batalistyczna;Cuirassé;Corazzata;Schlachtschiff;Acorazado;Линкор;Łódź Batalistyczna;Tirpitz;Zırhlı;战\t列\t舰;戦艦;Couraçado;Лінкор;Bojni brod;csatahajó;전함;Лінкар;Cuirasat;【戰\t列\t艦\t】\t鐵\t必\t制\t號;【战\t列\t舰\t】;;
ships/germ_dd_z28_searchlight_top_0;Kontrtorpedowiec;Destruktor;Z-28;Zerstörer;Destructor;Эсминец;Kontrtorpedowiec;Zerstörer 1936A Z 28;Muhrip;【驱\t逐\t舰\t】\tZ 28;軍事工場攻撃;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Z-28;【驅\t逐\t艦\t】\tZ28;【驱\t逐\t舰\t】;;
ships/germ_dd_z28_searchlight_top_1;Kontrtorpedowiec;Destruktor;Cacciatorpediniere Tedesco;Zerstörer;Destructor;Эсминец;Kontrtorpedowiec;Zerstörer 1936A;Muhrip;【驱\t逐\t舰\t】\tZ 28;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător german;【驅\t逐\t艦\t】\tZ28;【驱\t逐\t舰\t】;;
ships/germ_dd_z28_searchlight_top_2;Kontrtorpedowiec;Destruktor;Cacciatorpediniere;Zerstörer;Destructor;Эсминец;Kontrtorpedowiec;Zerstörer 1936A;Muhrip;驱\t逐\t舰;駆逐艦;Contratorpedeiro;Есмінець;Razarač;romboló;구축함;Эсмінец;Distrugător;【驅\t逐\t艦\t】\tZ28;【驱\t逐\t舰\t】;;
wheeled_vehicles/truck_arcade_0;Tandetny Towar;Camion d'approvisionnement;Autocarro da trasporto;Lastwagen;Camión de carga;Грузовой автомобиль;Tandetny Towar;ZIS-5 gruzovoj;Kargo Kamyonu;货\t车;貨物\tトラック;Camião de carga;Вантажний автомобіль;Teretni kamion;teherautó;화물 트럭;Грузавік;Camion de trasport;貨\t車;货\t车;;
wheeled_vehicles/truck_arcade_1;Tandetna;Camion;Autocarro;Laster;Camión;Автомобиль;Tandetna;ZIS-5 nákladní;Kamyon;货\t车;貨物\tトラック;Caminhão;Автомобіль;Kamion;teherautó;트럭;Аўтамабіль;Camion;貨\t車;货\t车;;
wheeled_vehicles/truck_arcade_2;Tandetna;Camion;Autocarro;Laster;Camión;Автомобиль;Tandetna;ZIS-5;Kamyon;货\t车;貨物\tトラック;Caminhão;Автомобіль;Kamion;teherautó;트럭;Аўтамабіль;Camion;貨\t車;货\t车;;
ships/cargo_ship_arcade_0;Cargo ship;Cargo;Nave da trasporto;Frachtschiff;Buque de carga;Грузовой корабль;Cargo ship;nákladní loď;Kargo Gemisi;货\t船;貨物船;Cargueiro;Вантажне судно;Teretni brod;teherhajó;수송선;Грузавы карабель;Cargou;貨\t船;货\t船;;
ships/cargo_ship_arcade_1;Cargo ship;Cargo;Nave da trasporto;Frachtschiff;Buque de carga;Грузовой корабль;Cargo ship;nákladní loď;Kargo Gemisi;货\t船;貨物船;Cargueiro;Вантажне судно;Teretni brod;teherhajó;수송선;Грузавы карабель;Cargou;貨\t船;货\t船;;
ships/cargo_ship_arcade_2;Ship;Bateau;Nave;Schiff;Buque;Корабль;Ship;nákladní loď;Gemi;货\t船;貨物船;Navio;Корабель;Brod;teherhajó;선박;Карабель;Navă;貨\t船;货\t船;;
structures/dummy_arcade_0;Podłoże Gmachowe;Bâtiment;Edificio;Basisgebäude;Edificio de la base;Здание базы;Base building;budova základny;Üs Binası;基\t地\t建\t筑;基地建物;Edifício;Будівля бази;Zgrada baze;bázisépület;기지 건물;Будынак базы;Clădire bază;基\t地\t建\t築;基\t地\t建\t筑;;
structures/dummy_arcade_1;Podłoże Gmachowe;Bâtiment;Edificio;Basisgebäude;Edificio de la base;Здание базы;Base building;budova základny;Üs Binası;基\t地\t建\t筑;基地建物;Edifício;Будівля бази;Zgrada baze;bázisépület;기지 건물;Будынак базы;Clădire bază;基\t地\t建\t築;基\t地\t建\t筑;;
structures/dummy_arcade_2;Podłoże Gmachowe;Bâtiment;Edificio;Basisgebäude;Edificio de la base;Здание базы;Base building;budova základny;Üs Binası;基\t地\t建\t筑;基地建物;Edifício;Будівля бази;Zgrada baze;bázisépület;기지 건물;Будынак базы;Clădire bază;基\t地\t建\t築;基\t地\t建\t筑;;
structures/dummy_airfield_0;Pole Tlenowe;Aérodrome;Aereoporto;Flugplatz;Aeródromo;Аэродром;Airfield;letiště;Havaalanı;机\t场;飛行場;Aeródromo;Аеродром;Aerodrom;repülőtér;비행장;Аэрадром;Aerodrom;機\t場;机\t场;;
structures/dummy_airfield_1;Pole Tlenowe;Aérodrome;Aereoporto;Flugplatz;Aeródromo;Аэродром;Airfield;letiště;Havaalanı;机\t场;飛行場;Aeródromo;Аеродром;Aerodrom;repülőtér;비행장;Аэрадром;Aerodrom;機\t場;机\t场;;
structures/dummy_airfield_2;Pole Tlenowe;Aérodrome;Aereoporto;Flugplatz;Aeródromo;Аэродром;Airfield;letiště;Havaalanı;机\t场;飛行場;Aeródromo;Аеродром;Aerodrom;repülőtér;비행장;Аэрадром;Aerodrom;機\t場;机\t场;;
structures/flag_victory_0;Płyta Chodnikowa;Drapeau;Bandiera;Flagge;Bandera;Флаг;Flag;vlajka;Bayrak;旗\t帜;旗;Bandeira;Прапор;Zastava;zászló;깃발;Сцяг;Steag;旗\t幟;旗\t帜;;
structures/flag_victory_1;Płyta Chodnikowa Chodnikowa;Drapeau;Bandiera;Flagge;Bandera;Флаг;Flag;vlajka;Bayrak;旗\t帜;旗;Bandeira;Прапор;Zastava;zászló;깃발;Сцяг;Steag;旗\t幟;旗\t帜;;
structures/flag_victory_2;Flag;Drapeau;Bandiera;Flagge;Bandera;Флаг;Flag;vlajka;Bayrak;旗\t帜;旗;Bandeira;Прапор;Zastava;zászló;깃발;Сцяг;Steag;旗\t幟;旗\t帜;;
structures/dummy_airfield_5k_0;Pole Tlenowe;Aérodrome;Aereoporto;Flugplatz;Aeródromo;Аэродром;Airfield;letiště;Havaalanı;机\t场;飛行場;Aeródromo;Аеродром;Aerodrom;repülőtér;비행장;Аэрадром;Aerodrom;機\t場;机\t场;;
structures/dummy_airfield_5k_1;Pole Tlenowe;Aérodrome;Aereoporto;Flugplatz;Aeródromo;Аэродром;Airfield;letiště;Havaalanı;机\t场;飛行場;Aeródromo;Аеродром;Aerodrom;repülőtér;비행장;Аэрадром;Aerodrom;機\t場;机\t场;;
structures/dummy_airfield_5k_2;Pole Tlenowe;Aérodrome;Aereoporto;Flugplatz;Aeródromo;Аэродром;Airfield;letiště;Havaalanı;机\t场;飛行場;Aeródromo;Аеродром;Aerodrom;repülőtér;비행장;Аэрадром;Aerodrom;機\t場;机\t场;;
structures/dummy_bombtarget_0;Sens Bimbałów;Point de bombardement;Punto di bombardamento;Bombenabwurfstelle;Punto de bombardeo;Цель для бомбардировки;Bombing point;bombardovací cíl;Bombalama Noktası;轰\t炸\t点;爆撃地点;Ponto de bombardeamento;Ціль для бомбардування;Meta za bombardovanje;bombázási pont;폭격 지점;Цэль бамбардзіроўкі;Punct de bombardare;轟\t炸\t點;轰\t炸\t点;;
structures/dummy_bombtarget_1;Sens Bimbałów;Point de bombardement;Punto di bombardamento;Bombenabwurfstelle;Punto de bombardeo;Цель для бомбардировки;Bombing point;bombardovací cíl;Bombalama Noktası;轰\t炸\t点;爆撃地点;Ponto de bombardeamento;Ціль для бомбардування;Meta za bombardovanje;bombázási pont;폭격 지점;Цэль бамбардзіроўкі;Punct de bombardare;轟\t炸\t點;轰\t炸\t点;;
structures/dummy_bombtarget_2;Sens Bimbałów;Point de bombardement;Punto di bombardamento;Bombenabwurfstelle;Punto de bombardeo;Цель для бомбардировки;Bombing point;bombardovací cíl;Bombalama Noktası;轰\t炸\t点;爆撃地点;Ponto de bombardeamento;Ціль для бомбардування;Meta za bombardovanje;bombázási pont;폭격 지점;Цэль бамбардзіроўкі;Punct de bombardare;轟\t炸\t點;轰\t炸\t点;;
structures/dummy_bombtarget_airfield_0;Uciekaj!;Piste;Pista;Rollbahn;Pista;ВПП;Runway;dráha;Pist;跑\t道;滑走路;Pista;ЗПС;Pista;kifutópálya;활주로;УПП;Pistă;跑\t道;跑\t道;;
structures/dummy_bombtarget_airfield_1;Uciekaj!;Piste;Pista;Rollbahn;Pista;ВПП;Runway;dráha;Pist;跑\t道;滑走路;Pista;ЗПС;Pista;kifutópálya;활주로;УПП;Pistă;跑\t道;跑\t道;;
structures/dummy_bombtarget_airfield_2;Uciekaj!;Piste;Pista;Rollbahn;Pista;ВПП;Runway;dráha;Pist;跑\t道;滑走路;Pista;ЗПС;Pista;kifutópálya;활주로;УПП;Pistă;跑\t道;跑\t道;;
structures/tank_target_10a_char_0;Cel Pogłowie 10a;Cible №10a;Bersaglio №10а;Ziel #10a;Blanco Nº10a;Мишень №10а;Target №10a;cíl č.10a;Hedef №10a;目\t标 10\tа 号;標的 №10a;Alvo Nº10;Мішень №10а;Meta №10a;célpont #10a;10a번 표적;Мішэнь №10а;Ținta nr. 10a;目\t標 №\t10\tа;目\t标 №\t10\tа;;
structures/tank_target_10a_char_1;Cel Pogłowie 10a;Cible №10a;Bersaglio №10а;Ziel #10a;Blanco Nº10a;Мишень №10а;Target №10a;cíl č.10a;Hedef №10a;目\t标 10\tа 号;標的 №10a;Alvo Nº10;Мішень №10а;Meta №10a;célpont #10a;10a번 표적;Мішэнь №10а;Ținta nr. 10a;目\t標 №\t10\tа;目\t标 №\t10\tа;;
structures/tank_target_10a_char_2;Cel Pogłowie 10a;Cible №10a;Bersaglio №10а;Ziel #10a;Blanco Nº10a;Мишень №10а;Target №10a;cíl č.10a;Hedef №10a;目\t标 10\tа 号;標的 №10a;Alvo Nº10;Мішень №10а;Meta №10a;célpont #10a;10a번 표적;Мішэнь №10а;Ținta nr. 10a;目\t標 №\t10\tа;目\t标 №\t10\tа;;
structures/tank_target_12_char_0;Cel Pogłowie 12;Cible №12;Bersaglio №12;Ziel #12;Blanco N.º 12;Мишень №12;Target №12;cíl č.12;Hedef №12;目\t标 12 号;標的 №12;Alvo Nº12;Мішень №12;Meta №12;célpont #12;12번 표적;Мішэнь №12;Ținta nr. 12;目\t標 №\t12;目\t标 №\t12;;
structures/tank_target_12_char_1;Cel Pogłowie 12;Cible №12;Bersaglio №12;Ziel #12;Blanco N.º 12;Мишень №12;Target №12;cíl č.12;Hedef №12;目\t标 12 号;標的 №12;Alvo Nº12;Мішень №12;Meta №12;célpont #12;12번 표적;Мішэнь №12;Ținta nr. 12;目\t標 №\t12;目\t标 №\t12;;
structures/tank_target_12_char_2;Cel Pogłowie 12;Cible №12;Bersaglio №12;Ziel #12;Blanco N.º 12;Мишень №12;Target №12;cíl č.12;Hedef №12;目\t标 12 号;標的 №12;Alvo Nº12;Мішень №12;Meta №12;célpont #12;12번 표적;Мішэнь №12;Ținta nr. 12;目\t標 №\t12;目\t标 №\t12;;
structures/tank_target_17_char_0;Cel Pogłowie 17;Cible №17;Bersaglio №17;Ziel #17;Blanco N.º 17;Мишень №17;Target №17;cíl č.17;Hedef №17;目\t标 17 号;標的 №17;Alvo Nº17;Мішень №17;Meta №17;célpont #17;17번 표적;Мішэнь №17;Ținta nr. 17;目\t標 №\t17;目\t标 №\t17;;
structures/tank_target_17_char_1;Cel Pogłowie 17;Cible №17;Bersaglio №17;Ziel #17;Blanco N.º 17;Мишень №17;Target №17;cíl č.17;Hedef №17;目\t标 17 号;標的 №17;Alvo Nº17;Мішень №17;Meta №17;célpont #17;17번 표적;Мішэнь №17;Ținta nr. 17;目\t標 №\t17;目\t标 №\t17;;
structures/tank_target_17_char_2;Cel Pogłowie 17;Cible №17;Bersaglio №17;Ziel #17;Blanco N.º 17;Мишень №17;Target №17;cíl č.17;Hedef №17;目\t标 17 号;標的 №17;Alvo Nº17;Мішень №17;Meta №17;célpont #17;17번 표적;Мішэнь №17;Ținta nr. 17;目\t標 №\t17;目\t标 №\t17;;
structures/tank_target_25_char_0;Cel Pogłowie 25;Cible №25;Bersaglio №25;Ziel #25;Blanco N.º 25;Мишень №25;Target №25;cíl č.25;Hedef №25;目\t标 25 号;標的 №25;Alvo Nº25;Мішень №25;Meta №25;célpont #25;25번 표적;Мішэнь №25;Ținta nr. 25;目\t標 №\t25;目\t标 №\t25;;
structures/tank_target_25_char_1;Cel Pogłowie 25;Cible №25;Bersaglio №25;Ziel #25;Blanco N.º 25;Мишень №25;Target №25;cíl č.25;Hedef №25;目\t标 25 号;標的 №25;Alvo Nº25;Мішень №25;Meta №25;célpont #25;25번 표적;Мішэнь №25;Ținta nr. 25;目\t標 №\t25;目\t标 №\t25;;
structures/tank_target_25_char_2;Cel Pogłowie 25;Cible №25;Bersaglio №25;Ziel #25;Blanco N.º 25;Мишень №25;Target №25;cíl č.25;Hedef №25;目\t标 25 号;標的 №25;Alvo Nº25;Мішень №25;Meta №25;célpont #25;25번 표적;Мішэнь №25;Ținta nr. 25;目\t標 №\t25;目\t标 №\t25;;
structures/tank_target_8_char_0;Cel Pogłowie 8;Cible №8;Bersaglio №8;Ziel #8;Blanco N.º 8;Мишень №8;Target №8;cíl č.8;Hedef №8;目\t标 8 号;標的 №8;Alvo Nº8;Мішень №8;Meta №8;célpont #8;8번 표적;Мішэнь №8;Ținta nr. 8;目\t標 №\t8;目\t标 №\t8;;
structures/tank_target_8_char_1;Cel Pogłowie 8;Cible №8;Bersaglio №8;Ziel #8;Blanco N.º 8;Мишень №8;Target №8;cíl č.8;Hedef №8;目\t标 8 号;標的 №8;Alvo Nº8;Мішень №8;Meta №8;célpont #8;8번 표적;Мішэнь №8;Ținta nr. 8;目\t標 №\t8;目\t标 №\t8;;
structures/tank_target_8_char_2;Cel Pogłowie 8;Cible №8;Bersaglio №8;Ziel #8;Blanco N.º 8;Мишень №8;Target №8;cíl č.8;Hedef №8;目\t标 8 号;標的 №8;Alvo Nº8;Мішень №8;Meta №8;célpont #8;8번 표적;Мішэнь №8;Ținta nr. 8;目\t標 №\t8;目\t标 №\t8;;
structures/tank_target_9_char_0;Cel Pogłowie 9;Cible №9;Bersaglio №9;Ziel #8;Blanco N.º 9;Мишень №9;Target №9;cíl č.9;Hedef №9;目\t标 9 号;標的 №9;Alvo Nº9;Мішень №9;Meta №9;célpont #9;9번 표적;Мішэнь №9;Ținta nr. 9;目\t標 №\t9;目\t标 №\t9;;
structures/tank_target_9_char_1;Cel Pogłowie 9;Cible №9;Bersaglio №9;Ziel #8;Blanco N.º 9;Мишень №9;Target №9;cíl č.9;Hedef №9;目\t标 9 号;標的 №9;Alvo Nº9;Мішень №9;Meta №9;célpont #9;9번 표적;Мішэнь №9;Ținta nr. 9;目\t標 №\t9;目\t标 №\t9;;
structures/tank_target_9_char_2;Cel Pogłowie 9;Cible №9;Bersaglio №9;Ziel #8;Blanco N.º 9;Мишень №9;Target №9;cíl č.9;Hedef №9;目\t标 9 号;標的 №9;Alvo Nº9;Мішень №9;Meta №9;célpont #9;9번 표적;Мішэнь №9;Ținta nr. 9;目\t標 №\t9;目\t标 №\t9;;
unic_hornet;USS Hornet CV-8;USS Hornet CV-8;USS Hornet CV-8;USS Hornet CV-8;USS Hornet CV-8;"""Хорнет"" (CV-8)";USS Hornet CV-8;USS Hornet CV-8;USS Hornet (CV-8);大\t黄\t蜂;USS ホーネット CV-8;USS Hornet CV-8;"""Хорнет"" (CV-8)";USS Hornet CV-8;USS Hornet (CV-8);USS 호넷 CV-8;«Хорнэт» (CV-8);USS Hornet CV-8;USS 大\t黃\t蜂\t號 CV-8;“大\t黄\t蜂”\t号\t航\t空\t母\t舰;;
unic_hornet_0;USS Hornet CV-8;USS Hornet CV-8;USS Hornet CV-8;USS Hornet CV-8;USS Hornet (CV-8);"""Хорнет"" (CV-8)";USS Hornet CV-8;USS Hornet CV-8;USS Hornet (CV-8);大\t黄\t蜂\t号\t航\t空\t母\t舰 (CV-8);USS ホーネット CV-8;USS Hornet CV-8;"""Хорнет"" (CV-8)";USS Hornet CV-8;USS Hornet (CV-8);USS 호넷 CV-8;«Хорнэт» (CV-8);USS Hornet CV-8;USS 大\t黃\t蜂\t號 CV-8;“大\t黄\t蜂”\t号\t航\t空\t母\t舰;;
unic_hornet_1;USS Hornet;USS Hornet;Portaerei USA;USS Hornet;USS Hornet;"""Хорнет""";USS Hornet;USS Hornet;USS Hornet (CV-8);“大\t黄\t蜂”\t号\t航\t空\t母\t舰;USS ホーネット;USS Hornet;"""Хорнет""";USS Hornet;USS Hornet;USS 호넷;«Хорнэт»;USS Hornet;USS 大\t黃\t蜂\t號;“大\t黄\t蜂”\t号\t航\t空\t母\t舰;;
unic_hornet_2;Kolporter;Porte-avion;Portaerei;Flugzeugträger;Portaaviones;Авианосец;Kolporter;Hornet;Uçak Gemisi;航\t空\t母\t舰;空母;Porta-aviões;Авіаносець;Nosač aviona;repülőgép-hordozó;항공모함;Авіяносец;Portavion american;航\t空\t母\t艦;“大\t黄\t蜂”\t号\t航\t空\t母\t舰;;
unic_enterprise;USS Enterprise CV-6;USS Enterprise CV-6;USS Enterprise CV-6;USS Enterprise CV-6;USS Enterprise CV-6;"""Энтерпрайз"" (CV-6)";USS Enterprise CV-6;USS Enterprise CV-6;USS Enterprise (CV-6);企\t业;USS エンタープライズ CV-6;USS Enterprise CV-6;"""Ентерпрайз"" (CV-6)";USS Enterprise CV-6;USS Enterprise (CV-6);USS 엔터프라이즈 CV-6;«Энтэрпрайз» (CV-6);USS Enterprise CV-6;USS 企\t業\t號 CV-6;“企\t业”\t号\t航\t空\t母\t舰;;
unic_enterprise_0;USS Enterprise CV-6;USS Enterprise CV-6;USS Enterprise CV-6;USS Enterprise CV-6;USS Enterprise CV-6;"""Энтерпрайз"" (CV-6)";USS Enterprise CV-6;USS Enterprise CV-6;USS Enterprise (CV-6);企\t业\t号\t航\t空\t母\t舰 (CV-6);USS エンタープライズ CV-6;USS Enterprise CV-6;"""Ентерпрайз"" (CV-6)";USS Enterprise CV-6;USS Enterprise (CV-6);USS 엔터프라이즈 CV-6;«Энтэрпрайз» (CV-6);USS Enterprise CV-6;USS 企\t業\t號 CV-6;“企\t业”\t号\t航\t空\t母\t舰;;
unic_enterprise_1;USS Enterprise;USS Enterprise;Portaerei USA;USS Enterprise;USS Enterprise;"""Энтерпрайз""";USS Enterprise;USS Enterprise;USS Enterprise (CV-6);企\t业;USS エンタープライズ;USS Enterprise;"""Ентерпрайз""";USS Enterprise;USS Enterprise;USS 엔터프라이즈;«Энтэрпрайз»;USS Enterprise;USS 企\t業\t號;“企\t业”\t号\t航\t空\t母\t舰;;
unic_enterprise_2;Kolporter;Porte-avion;Portaerei;Flugzeugträger;Portaaviones;Авианосец;Kolporter;Enterprise;Uçak Gemisi;航\t空\t母\t舰;空母;Porta-aviões;Авіаносець;Nosač aviona;repülőgép-hordozó;항공모함;Авіяносец;Portavion american;航\t空\t母\t艦;航\t空\t母\t舰;;
unic_yorktown;USS Yorktown CV-5;USS Yorktown CV-5;USS Yorktown CV-5;USS Yorktown CV-5;USS Yorktown CV-5;"""Йорктаун"" (CV-5)";USS Yorktown CV-5;USS Yorktown CV-5;USS Yorktown (CV-5);约\t克\t城;USS ヨークタウン CV-5;USS Yorktown CV-5;"""Йорктаун"" (CV-5)";USS Yorktown CV-5;USS Yorktown (CV-5);USS 요크타운 CV-5;«Ёрктаўн» (CV-5);USS Yorktown CV-5;USS 約\t克\t鎮\t號 CV-5;“约\t克\t城”\t号\t航\t空\t母\t舰;;
unic_yorktown_0;USS Yorktown CV-5;USS Yorktown CV-5;USS Yorktown CV-5;USS Yorktown CV-5;USS Yorktown CV-5;"""Йорктаун"" (CV-5)";USS Yorktown CV-5;USS Yorktown CV-5;USS Yorktown (CV-5);约\t克\t城\t号\t航\t空\t母\t舰 (CV-5);USS ヨークタウン CV-5;USS Yorktown CV-5;"""Йорктаун"" (CV-5)";USS Yorktown CV-5;USS Yorktown (CV-5);USS 요크타운 CV-5;«Ёрктаўн» (CV-5);USS Yorktown CV-5;USS 約\t克\t鎮\t號 CV-5;“约\t克\t城”\t号\t航\t空\t母\t舰;;
unic_yorktown_1;USS Yorktown;USS Yorktown;Portaerei USA;USS Yorktown;USS Yorktown;"""Йорктаун""";USS Yorktown;USS Yorktown;USS Yorktown (CV-5);约\t克\t城;USS ヨークタウン;USS Yorktown;"""Йорктаун""";USS Yorktown;USS Yorktown;USS 요크타운;«Ёрктаўн»;USS Yorktown CV-5;USS 約\t克\t鎮\t號;“约\t克\t城”\t号\t航\t空\t母\t舰;;
unic_yorktown_2;Kolporter;Porte-avion;Portaerei;Flugzeugträger;Portaaviones;Авианосец;Kolporter;Yorktown;Uçak Gemisi;航\t空\t母\t舰;空母;Porta-aviões;Авіаносець;Nosač aviona;repülőgép-hordozó;항공모함;Авіяносец;Portavion american;航\t空\t母\t艦;【航\t空\t母\t舰\t】;;
unic_soryu;IJN Sōryū;IJN Sōryū;Sōryū;Sōryū;AIJ Sōryū;"""Сорю""";IJN Sōryū;Sórjú;Sōryū;苍\t龙;大日本帝國海軍 蒼龍;MIJ Sōryū;"""Сорю""";IJN Sorju;Szórjú;IJN 소류;«Сор'ю»;Sōryū;IJN 蒼\t龍\t號;【航\t空\t母\t舰\t】;;
unic_soryu_0;IJN Sōryū;IJN Sōryū;Sōryū;Sōryū;AIJ Sōryū;"""Сорю""";IJN Sōryū;Sórjú;Sōryū;苍\t龙\t号\t航\t空\t母\t舰;大日本帝國海軍 蒼龍;MIJ Sōryū;"""Сорю""";IJN Sorju;Szórjú;IJN 소류;«Сор'ю»;Sōryū;IJN 蒼\t龍\t號;【航\t空\t母\t舰\t】;;
